timeslot,energy_kWh
7-23,0.0
8-0,0.0
8-1,0.0
8-2,0.0
8-3,0.0
8-4,0.0
8-5,0.0
8-6,0.0019993657736145
8-7,0.13643525248153174
8-8,0.5793446734413887
8-9,1.2695581367025128
8-10,2.086818192250637
8-11,2.888558902768263
8-12,3.5346552249241054
8-13,3.9117488461444445
8-14,3.952927608592218
8-15,3.649342250583767
8-16,3.0517438449177643
8-17,2.261675040077445
8-18,1.4138442684894559
8-19,0.6527426874724012
8-20,0.11607172733154418
8-21,0.0
8-22,0.0
8-23,0.0
9-0,0.0
9-1,0.0
9-2,0.0
9-3,0.0
9-4,0.0
9-5,0.0
9-6,0.0
9-7,0.034055689262191935
9-8,0.36292054306290034
9-9,0.9637752736415313
9-10,1.7054092405702173
9-11,2.439072853651731
9-12,3.016404789250317
9-13,3.3193546332212094
9-14,3.2839969021842115
9-15,2.913433660073399
9-16,2.2771835201259862
9-17,1.4971802040539133
9-18,0.7232043708966165
9-19,0.12201139582694225
9-20,0.0
9-21,0.0
9-22,0.0
9-23,0.0
10-0,0.0
10-1,0.0
10-2,0.0
10-3,0.0
10-4,0.0
10-5,0.0
10-6,0.0
10-7,0.0
10-8,0.11527913046019359
10-9,0.589271530219841
10-10,1.2159168351680252
10-11,1.8446550440251248
10-12,2.3256753180938037
10-13,2.54167322004428
10-14,2.436261218828121
10-15,2.027665634473122
10-16,1.4043932812825548
10-17,0.7039161192328164
10-18,0.10865003473638248
10-19,0.0
10-20,0.0
10-21,0.0
10-22,0.0
10-23,0.0
11-0,0.0
11-1,0.0
11-2,0.0
11-3,0.0
11-4,0.0
11-5,0.0
11-6,0.0
11-7,0.0
11-8,0.16440548552870857
11-9,0.5552369410057085
11-10,0.972071559328511
11-11,1.2979158959097123
11-12,1.4377903906871885
11-13,1.3468165623313586
11-14,1.0435928750519348
11-15,0.6048963010523186
11-16,0.14746527197752857
11-17,0.0
11-18,0.0
11-19,0.0
11-20,0.0
11-21,0.0
11-22,0.0
11-23,0.0
12-0,0.0
12-1,0.0
12-2,0.0
12-3,0.0
12-4,0.0
12-5,0.0
12-6,0.0
12-7,0.0
12-8,0.02601580726951494
12-9,0.2679034540917935
12-10,0.5874130290133643
12-11,0.8588735260006195
12-12,0.9958890226997565
12-13,0.9511698115035845
12-14,0.7322953908375822
12-15,0.39946479593130435
12-16,0.0649695386995552
12-17,0.0
12-18,0.0
12-19,0.0
12-20,0.0
12-21,0.0
12-22,0.0
12-23,0.0
